pfn,nr_pages,lru_type,memory_type,timestamp
0xc0a18,1,0,file,4296503802
0xa785c,1,0,file,4296503802
0xa789c,1,0,file,4296503802
0xa78dc,1,0,file,4296503802
0xa791c,1,0,file,4296503802
0xa795c,1,0,file,4296503802
0xa799c,1,0,file,4296503802
0xa79dc,1,0,file,4296503802
0x9b81c,1,0,file,4296503802
0x9e370,1,0,file,4296503802
0x9e3b0,1,0,file,4296503802
0x9e3f0,1,0,file,4296503802
0x94310,1,0,file,4296503802
0x94350,1,0,file,4296503802
0x94390,1,0,file,4296503802
0x943d0,1,0,file,4296503802
0xa7810,1,0,file,4296503802
0x8dd74,1,0,file,4296503802
0x5c0e5,1,0,file,4296503802
0x5cfde,1,0,file,4296503802
0x5d23f,1,0,file,4296503802
0x5e167,1,0,file,4296503802
0x5d531,1,0,file,4296503802
0x5e35f,1,0,file,4296503802
0x5f7a7,1,0,file,4296503802
0x63ab1,1,0,file,4296503802
0x5b6f9,1,0,file,4296503802
0x62adf,1,0,file,4296503802
0x61599,1,0,file,4296503802
0x4a301,1,0,file,4296503802
0x5b7c9,1,0,file,4296503802
0x1632b,1,0,file,4296503802
0x615e1,1,0,file,4296503802
0x5576,1,0,file,4296503802
0x23cb5,1,0,file,4296503802
0x12429,1,0,file,4296503802
0x20c71,1,0,file,4296503802
0x118259,1,0,file,4296503802
0x109d34,1,0,file,4296503802
0x110067,1,0,file,4296503802
0x111b39,1,0,file,4296503802
0x10d061,1,0,file,4296503802
0x115691,1,0,file,4296503802
0x6382b,1,0,file,4296503802
0x40982,1,0,file,4296503802
0x232c8,1,0,file,4296503802
0x12177,1,0,file,4296503802
0x10b58d,1,0,file,4296503802
0x10b84b,1,0,file,4296503802
0x10b7bb,1,0,file,4296503802
0x10b8d6,1,0,file,4296503802
0x10ba2d,1,0,file,4296503802
0x10b7f3,1,0,file,4296503802
0x10b9c6,1,0,file,4296503802
0x10ba4e,1,0,file,4296503802
0x10b8a9,1,0,file,4296503802
0x10b9b6,1,0,file,4296503802
0x10bb97,1,0,file,4296503802
0x10ba14,1,0,file,4296503802
0x10bae2,1,0,file,4296503802
0x10bbb1,1,0,file,4296503802
0x10b9e7,1,0,file,4296503802
